\lr{English}, \rl{فارسی}
\lr{Selfish Nodes}, \rl{گره‌های خودخواه}
\lr{Service}, \rl{ارائه خدمت}
\lr{Settled}, \rl{تهاتر‌ شده}
\lr{Sharding}, \rl{بخش‌بندی‌شده}
\lr{Shards}, \rl{بخش‌های}
\lr{Side Channels}, \rl{کانال‌های جانبی}
\lr{Smart Contracts}, \rl{قراردادهای هوشمند}
\lr{Smart Properties}, \rl{دارایی‌های هوشمند}
\lr{Solo Mining}, \rl{استخراج تک‌نفره}
\lr{Sortition}, \rl{قرعه‌کشی}
\lr{Sortition Proof}, \rl{رسید قرعه‌کشی}
\lr{Stake}, \rl{سهام}
\lr{Static Game}, \rl{بازی ایستا}
\lr{Static Games}, \rl{بازی‌های ایستا}
\lr{Steady State}, \rl{نقطه ثبات}
\lr{Stochastic Games}, \rl{تصادفی}
\lr{Stochastic Games}, \rl{بازی‌های تصادفی}
\lr{Strategy Profile}, \rl{‌مجموعه استراتژی‌ای}
\lr{Strictly Dominated}, \rl{اکیدا مغلوب}
\lr{Strong Synchrony Set}, \rl{مجموعه همگامی قوی}
\lr{Strongly Synchronous}, \rl{قویا همگام}
\lr{Sustainability}, \rl{پایداری}
\lr{Symmetric Nash Equilibrium}, \rl{نقطه تعادل نش متقارنی}
\lr{Symmetric Nash Equilibrium}, \rl{نقطعه تعادل نش متقارن}
\lr{Tentative}, \rl{غیرقطعی}
\lr{Timestamp}, \rl{مهر زمانی}
\lr{Token}, \rl{نشان}
\lr{Trade Off}, \rl{بده‌بستانی}
\lr{Transaction Fee Pool}, \rl{استخر کارمزد}
\lr{Transaction Malleability}, \rl{چکش‌خواری تراکنش‌ها}
\lr{Transaction Pool}, \rl{استخر تراکنش}
\lr{Transferable Virtual Property}, \rl{دارایی‌های مجازی قابل  واگذاری}
\lr{Truncate}, \rl{بریدن}
\lr{Trustless Environments}, \rl{بی‌اعتمادی}
\lr{Unilaterally}, \rl{به تنهایی}
\lr{Valid}, \rl{معتبر}
\lr{Validation}, \rl{اعتبارسنجی}
\lr{Verfiy}, \rl{وارسی}
\lr{VisaNet}, \rl{شبکه ویزا}
\lr{Weak Synchrony}, \rl{همگامی ضعیف}
\lr{ZCash}, \rl{زی‌کش}
\lr{Zero Coin}, \rl{زیروکوین}
\lr{Zero Knowledger Proof}, \rl{اثبات‌های هیچ‌آگاهی}
\lr{Zero-sum Games}, \rl{بازی‌های مجموع صفر}
